"MU5313,广州白云机场,CAN,上海浦东机场,SHA,2016-06-27 18:50,2016-06-27 16:20,2:30,323,东方航空,东方航空,COMMON_F,标准头等舱,3380.0"
"MU9309,广州白云机场,CAN,上海虹桥机场,SHA,2016-06-27 18:55,2016-06-27 16:30,2:25,738,东方航空,上海航空,COMMON_F,标准头等舱,3380.0"
"MU9311,广州白云机场,CAN,上海虹桥机场,SHA,2016-06-27 19:55,2016-06-27 17:30,2:25,73E,东方航空,上海航空,COMMON_F,标准头等舱,3380.0"
"MU9317,广州白云机场,CAN,上海虹桥机场,SHA,2016-06-27 20:55,2016-06-27 18:30,2:25,763,东方航空,上海航空,COMMON_F,标准头等舱,3380.0"
"MU5315,广州白云机场,CAN,上海虹桥机场,SHA,2016-06-27 21:55,2016-06-27 19:30,2:25,321,东方航空,东方航空,COMMON_F,标准头等舱,3380.0"
"MU5317,广州白云机场,CAN,上海虹桥机场,SHA,2016-06-27 23:00,2016-06-27 20:35,2:25,738,东方航空,东方航空,COMMON_F,标准头等舱,3380.0"
"MU9315,广州白云机场,CAN,上海浦东机场,SHA,2016-06-27 23:40,2016-06-27 21:15,2:25,73H,东方航空,上海航空,COMMON_F,标准头等舱,3380.0"
"MU5319,广州白云机场,CAN,上海虹桥机场,SHA,2016-06-28 01:25,2016-06-27 22:50,2:35,738,东方航空,东方航空,COMMON_F,标准头等舱,3380.0"
"MU3318,广州白云机场,CAN,上海虹桥机场,SHA,2016-06-27 11:10,2016-06-27 08:45,2:25,77W,东方航空,南方航空,SHARE_CZ,南航共享,1350.0"
"MU3285,广州白云机场,CAN,上海虹桥机场,SHA,2016-06-27 12:10,2016-06-27 09:45,2:25,321,东方航空,南方航空,SHARE_CZ,南航共享,1350.0"
"MU3265,广州白云机场,CAN,上海虹桥机场,SHA,2016-06-27 14:10,2016-06-27 11:45,2:25,77W,东方航空,南方航空,SHARE_CZ,南航共享,1350.0"
"MU3273,广州白云机场,CAN,上海虹桥机场,SHA,2016-06-27 16:10,2016-06-27 13:45,2:25,332,东方航空,南方航空,SHARE_CZ,南航共享,1350.0"
"MU3277,广州白云机场,CAN,上海虹桥机场,SHA,2016-06-27 17:10,2016-06-27 14:45,2:25,330,东方航空,南方航空,SHARE_CZ,南航共享,1350.0"
"MU3087,广州白云机场,CAN,上海虹桥机场,SHA,2016-06-27 18:20,2016-06-27 15:45,2:35,787,东方航空,南方航空,SHARE_CZ,南航共享,1350.0"
"MU3267,广州白云机场,CAN,上海虹桥机场,SHA,2016-06-27 19:15,2016-06-27 16:45,2:30,33B,东方航空,南方航空,SHARE_CZ,南航共享,1350.0"
"MU3058,广州白云机场,CAN,上海浦东机场,SHA,2016-06-27 20:40,2016-06-27 18:05,2:35,320,东方航空,南方航空,SHARE_CZ,南航共享,1350.0"
"MU3297,广州白云机场,CAN,上海虹桥机场,SHA,2016-06-27 21:10,2016-06-27 18:45,2:25,332,东方航空,南方航空,SHARE_CZ,南航共享,1350.0"
"MU3245,广州白云机场,CAN,上海虹桥机场,SHA,2016-06-27 22:10,2016-06-27 19:45,2:25,77W,东方航空,南方航空,SHARE_CZ,南航共享,1350.0"
"MU3307,广州白云机场,CAN,上海虹桥机场,SHA,2016-06-27 23:15,2016-06-27 20:45,2:30,77W,东方航空,南方航空,SHARE_CZ,南航共享,1350.0"
"MU4718,广州白云机场,CAN,上海浦东机场,SHA,2016-06-27 23:30,2016-06-27 20:55,2:35,320,东方航空,南方航空,SHARE_CZ,南航共享,1350.0"
"MU9304,上海浦东机场,SHA,广州白云机场,CAN,2016-06-27 09:55,2016-06-27 07:30,2:25,73H,东方航空,上海航空,GZGF,广发银行特惠,740.0"
"MU9304,上海浦东机场,SHA,广州白云机场,CAN,2016-06-27 09:55,2016-06-27 07:30,2:25,73H,东方航空,上海航空,HYZJ_ALL,会员价-经济舱,760.0"
